route,FL_DATE,avg_arr_delay,avg_dep_delay,flights
ACV-SFO,2020-01-01,-20.81081081081081,-5.283783783783784,74
ACY-ATL,2018-08-01,57.666666666666664,46.67741935483871,31
ACY-FLL,2018-08-01,10.46774193548387,18.5,62
ACY-FLL,2020-01-01,-16.303797468354432,-4.85,80
ACY-MCO,2018-08-01,20.050847457627118,17.083333333333332,60
ACY-MCO,2020-01-01,-10.068965517241379,-4.379310344827586,58
ACY-MSY,2018-08-01,66.83333333333333,65.94444444444444,18
ACY-MYR,2018-08-01,-5.766666666666667,-0.7,30
ACY-MYR,2020-01-01,-14.857142857142858,-6.0,21
ACY-PBI,2020-01-01,-16.275862068965516,-3.5517241379310347,29
ACY-RSW,2018-08-01,9.9,18.4,30
ACY-RSW,2020-01-01,-13.040816326530612,-3.9591836734693877,49
ACY-TPA,2018-08-01,1.8064516129032258,11.419354838709678,31
ACY-TPA,2020-01-01,-12.678571428571429,-1.6785714285714286,28
ADK-ANC,2018-08-01,13.333333333333334,26.333333333333332,9
ADK-ANC,2020-01-01,1.2,-3.2,5
ADQ-ANC,2018-08-01,2.75,6.625,56
ADQ-ANC,2020-01-01,-9.676470588235293,-12.911764705882353,34
AEX-ATL,2018-08-01,4.415254237288136,10.066666666666666,120
AEX-ATL,2020-01-01,-14.872340425531915,-4.914893617021277,94
AEX-DFW,2018-08-01,2.817204301075269,5.946236559139785,93
AEX-DFW,2020-01-01,-6.855072463768116,-3.6,70
AEX-IAH,2018-08-01,2.715909090909091,3.7954545454545454,88
AEX-IAH,2020-01-01,-21.392156862745097,-8.333333333333334,51
AGS-ATL,2018-08-01,5.655172413793103,9.826086956521738,234
AGS-ATL,2020-01-01,-13.608910891089108,-3.103448275862069,203
AGS-CLT,2018-08-01,10.56353591160221,14.751381215469614,181
AGS-CLT,2020-01-01,-6.640625,-3.46875,64
AGS-DCA,2020-01-01,-23.153846153846153,-1.4285714285714286,14
AGS-DFW,2020-01-01,-7.458333333333333,-0.125,24
AKN-ANC,2018-08-01,26.25,24.0,4
ALB-ATL,2018-08-01,-7.022471910112359,1.9662921348314606,89
ALB-ATL,2020-01-01,-20.40963855421687,-3.6506024096385543,83
ALB-BWI,2018-08-01,0.04046242774566474,4.930635838150289,173
ALB-BWI,2020-01-01,-13.903508771929825,-0.47368421052631576,114
ALB-CLT,2018-08-01,-2.4204545454545454,4.215909090909091,88
ALB-CLT,2020-01-01,-14.442857142857143,-2.585714285714286,70
ALB-DCA,2018-08-01,16.94392523364486,18.296296296296298,108
ALB-DCA,2020-01-01,-12.209302325581396,-6.4772727272727275,44
ALB-DEN,2018-08-01,-1.2580645161290323,8.67741935483871,31
ALB-DTW,2018-08-01,8.5625,20.151785714285715,112
ALB-DTW,2020-01-01,-20.03030303030303,-3.0606060606060606,99
ALB-EWR,2018-08-01,21.69655172413793,26.53793103448276,145
ALB-EWR,2020-01-01,-8.0,-2.857142857142857,14
ALB-FLL,2018-08-01,22.756756756756758,32.972972972972975,37
ALB-FLL,2020-01-01,-15.390243902439025,-2.7560975609756095,41
ALB-IAD,2018-08-01,11.575,16.419753086419753,81
ALB-IAD,2020-01-01,-16.0,-6.0,1
ALB-MCO,2018-08-01,1.015625,7.863636363636363,66
ALB-MCO,2020-01-01,-18.44,-3.21,100
ALB-MDW,2018-08-01,1.435483870967742,11.241935483870968,62
ALB-MDW,2020-01-01,-14.326530612244898,-0.6122448979591837,49
ALB-MSP,2018-08-01,-9.774193548387096,6.806451612903226,31
ALB-MSP,2020-01-01,-18.0,-3.0,1
ALB-ORD,2018-08-01,8.302083333333334,14.354166666666666,192
ALB-ORD,2020-01-01,-18.4375,-5.3125,96
ALB-PGD,2020-01-01,-7.0,-3.2857142857142856,7
ALB-PHL,2018-08-01,7.7405063291139244,12.537974683544304,158
ALB-PIE,2020-01-01,-8.0,-5.666666666666667,6
ALB-RSW,2020-01-01,-26.0,-1.1666666666666667,12
ALB-SFB,2020-01-01,-8.0,-0.8571428571428571,7
ALB-TPA,2018-08-01,-0.8387096774193549,9.612903225806452,31
ALB-TPA,2020-01-01,-10.970588235294118,-0.29411764705882354,34
ALO-ORD,2018-08-01,3.7857142857142856,4.807017543859649,57
ALO-ORD,2020-01-01,-8.909090909090908,-6.159090909090909,44
ALW-SEA,2018-08-01,27.82191780821918,27.56756756756757,74
AMA-DAL,2018-08-01,0.6752136752136753,5.239316239316239,117
AMA-DAL,2020-01-01,-9.96,-4.14,100
AMA-DEN,2018-08-01,3.566666666666667,4.933333333333334,60
AMA-DEN,2020-01-01,-13.0,-8.0,1
AMA-DFW,2018-08-01,6.6350710900473935,11.407582938388625,211
AMA-DFW,2020-01-01,-11.23841059602649,-7.894039735099338,151
AMA-HOU,2020-01-01,-17.75,-4.0,4
AMA-IAH,2018-08-01,3.5670103092783507,4.072164948453608,97
AMA-IAH,2020-01-01,-13.153846153846153,-7.25,52
AMA-LAS,2018-08-01,-2.7419354838709675,4.419354838709677,31
AMA-LAS,2020-01-01,-12.033333333333333,-2.1,30
AMA-PHX,2018-08-01,2.5517241379310347,3.310344827586207,29
ANC-ADK,2018-08-01,14.555555555555555,8.666666666666666,9
ANC-ADK,2020-01-01,-8.714285714285714,-8.714285714285714,7
ANC-ADQ,2018-08-01,-4.7272727272727275,2.0714285714285716,56
ANC-ADQ,2020-01-01,-7.0,-7.25,32
ANC-AKN,2018-08-01,-7.0,-10.25,4
ANC-ATL,2018-08-01,7.225806451612903,27.06451612903226,31
ANC-BET,2018-08-01,-1.7183098591549295,-5.901408450704225,71
ANC-BET,2020-01-01,-7.810344827586207,-5.724137931034483,58
ANC-CDV,2018-08-01,6.32258064516129,-0.25806451612903225,31
ANC-CDV,2020-01-01,-4.695652173913044,-6.043478260869565,23
ANC-DEN,2018-08-01,5.862745098039215,14.27450980392157,51
ANC-DEN,2020-01-01,-10.857142857142858,-4.085714285714285,35
ANC-DFW,2018-08-01,94.29032258064517,104.12903225806451,31
ANC-DLG,2018-08-01,-1.0454545454545454,0.13636363636363635,22
ANC-DUT,2018-08-01,40.9,15.211267605633802,71
ANC-EWR,2018-08-01,144.0,162.25,4
ANC-FAI,2018-08-01,-0.6733668341708543,-1.065326633165829,199
ANC-FAI,2020-01-01,-6.705479452054795,-7.212328767123288,146
ANC-HNL,2018-08-01,-12.766666666666667,-5.870967741935484,31
ANC-HNL,2020-01-01,-19.214285714285715,-1.7142857142857142,28
ANC-IAH,2018-08-01,-4.5,8.35,20
ANC-JNU,2018-08-01,-7.5,-3.2017543859649122,114
ANC-JNU,2020-01-01,-7.857142857142857,-8.571428571428571,98
ANC-KOA,2020-01-01,-20.375,-4.6875,16
ANC-LAX,2018-08-01,-5.142857142857143,6.012987012987013,77
ANC-LAX,2020-01-01,-23.5,-4.642857142857143,28
ANC-MSP,2018-08-01,-10.481927710843374,7.6117647058823525,85
ANC-MSP,2020-01-01,-14.95,-6.3,20
ANC-OGG,2020-01-01,-14.5,-8.222222222222221,18
ANC-OME,2018-08-01,-5.685714285714286,-7.9714285714285715,35
ANC-OME,2020-01-01,-11.193548387096774,-7.096774193548387,31
ANC-ORD,2018-08-01,0.41,4.57,100
ANC-ORD,2020-01-01,-7.625,0.875,8
ANC-OTZ,2018-08-01,-3.8275862068965516,-2.8448275862068964,58
ANC-OTZ,2020-01-01,-7.8936170212765955,-9.127659574468085,47
ANC-PDX,2018-08-01,-4.9714285714285715,1.0142857142857142,140
ANC-PDX,2020-01-01,-11.147540983606557,-4.295081967213115,61
ANC-PHX,2018-08-01,43.80952380952381,56.0,21
ANC-PHX,2020-01-01,-21.47826086956522,-3.5652173913043477,23
ANC-SCC,2018-08-01,1.9344262295081966,5.540983606557377,61
ANC-SCC,2020-01-01,-2.84,-3.8,50
ANC-SEA,2018-08-01,-6.998778998778999,1.7716727716727716,819
ANC-SEA,2020-01-01,-13.457286432160805,-3.841708542713568,398
ANC-SFO,2018-08-01,-8.03225806451613,2.5161290322580645,31
ANC-SLC,2018-08-01,-10.666666666666666,-1.5714285714285714,21
APN-DTW,2018-08-01,16.967741935483872,11.32258064516129,31
APN-DTW,2020-01-01,-15.24,-1.16,25
APN-PLN,2018-08-01,-6.608695652173913,0.17391304347826086,23
APN-PLN,2020-01-01,-25.941176470588236,-5.882352941176471,17
ART-PHL,2018-08-01,4.064516129032258,9.016129032258064,62
