ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-01,-1042.343253,1098.9993677619602,1098.9993685941133,-1042.343253,-1042.343253,2141.3426211734477,2141.3426211734477,2141.3426211734477,2141.3426211734477,2141.3426211734477,2141.3426211734477,0.0,0.0,0.0,1098.9993681734477
2020-01-01,-113.64099286060768,947.0067210719245,947.0067219280375,-113.64099286060768,-113.64099286060768,1060.6477143545776,1060.6477143545776,1060.6477143545776,1060.6477143545776,1060.6477143545776,1060.6477143545776,0.0,0.0,0.0,947.00672149397
2020-02-01,-58.06228617272906,2352.099474899256,2352.0994757928374,-58.06228617272906,-58.06228617272906,2410.161761524737,2410.161761524737,2410.161761524737,2410.161761524737,2410.161761524737,2410.161761524737,0.0,0.0,0.0,2352.0994753520076
2020-03-01,-6.069302496971561,-9124.118901445405,-9124.118900500063,-6.069302496971561,-6.069302496971561,-9118.049598481986,-9118.049598481986,-9118.049598481986,-9118.049598481986,-9118.049598481986,-9118.049598481986,0.0,0.0,0.0,-9124.118900978958
2020-04-01,49.50940419090718,812.2022470899352,812.2022480419661,49.50940419090718,49.50940419090718,762.6928433908962,762.6928433908962,762.6928433908962,762.6928433908962,762.6928433908962,762.6928433908962,0.0,0.0,0.0,812.2022475818034
2020-05-01,103.29524937272544,-6216.329321810912,-6216.329320751763,103.29524935518481,103.29524937272544,-6319.624570637335,-6319.624570637335,-6319.624570637335,-6319.624570637335,-6319.624570637335,-6319.624570637335,0.0,0.0,0.0,-6216.3293212646095
2020-06-01,158.87395606060394,12538.804554244074,12538.804555504365,158.8739558377666,158.87395629232546,12379.930598824567,12379.930598824567,12379.930598824567,12379.930598824567,12379.930598824567,12379.930598824567,0.0,0.0,0.0,12538.804554885171
2020-07-01,212.65980124242193,2164.1454852201596,2164.1454866183,212.6598006791722,212.65980167373232,1951.4856847359335,1951.4856847359335,1951.4856847359335,1951.4856847359335,1951.4856847359335,1951.4856847359335,0.0,0.0,0.0,2164.1454859783553
2020-08-01,268.23850793030067,2387.19561797852,2387.1956199082883,268.23850684240216,268.23850864356945,2118.9571111703103,2118.9571111703103,2118.9571111703103,2118.9571111703103,2118.9571111703103,2118.9571111703103,0.0,0.0,0.0,2387.195619100611
2020-09-01,323.81721461817943,-7359.983857079868,-7359.983854392894,323.81721300309783,323.81721568574216,-7683.8010701734165,-7683.8010701734165,-7683.8010701734165,-7683.8010701734165,-7683.8010701734165,-7683.8010701734165,0.0,0.0,0.0,-7359.983855555237
2020-10-01,377.60305979999765,-4874.327888385257,-4874.327884514068,377.6030575720714,377.603061311227,-5251.9309459535225,-5251.9309459535225,-5251.9309459535225,-5251.9309459535225,-5251.9309459535225,-5251.9309459535225,0.0,0.0,0.0,-4874.327886153525
2020-11-01,433.1817664878762,-3404.185456689325,-3404.1854517488,433.18176382975537,433.1817685341093,-3837.3672204919667,-3837.3672204919667,-3837.3672204919667,-3837.3672204919667,-3837.3672204919667,-3837.3672204919667,0.0,0.0,0.0,-3404.1854540040904
2020-12-01,486.9676116696942,11764.02341315621,11764.023419204144,486.9676083675137,486.96761436649604,11277.055804873322,11277.055804873322,11277.055804873322,11277.055804873322,11277.055804873322,11277.055804873322,0.0,0.0,0.0,11764.023416543016
2021-01-01,542.5463183575729,1876.9531654666796,1876.9531727081817,542.5463145660316,542.5463215955149,1334.4068510775342,1334.4068510775342,1334.4068510775342,1334.4068510775342,1334.4068510775342,1334.4068510775342,0.0,0.0,0.0,1876.9531694351072
