route,FL_DATE,flights
DCA-DSM,2018-08-01,30
DCA-DSM,2020-01-01,48
DCA-DTW,2018-08-01,279
DCA-DTW,2020-01-01,247
DCA-ECP,2020-01-01,24
DCA-EWR,2018-08-01,206
DCA-EWR,2020-01-01,115
DCA-EYW,2018-08-01,5
DCA-EYW,2020-01-01,36
DCA-FLL,2018-08-01,213
DCA-FLL,2020-01-01,228
DCA-GRR,2018-08-01,46
DCA-GRR,2020-01-01,35
DCA-GSO,2018-08-01,76
DCA-GSO,2020-01-01,59
DCA-GSP,2018-08-01,82
DCA-GSP,2020-01-01,56
DCA-HOU,2018-08-01,89
DCA-HOU,2020-01-01,80
DCA-HPN,2018-08-01,118
DCA-HPN,2020-01-01,93
DCA-HSV,2018-08-01,96
DCA-HSV,2020-01-01,88
DCA-IAH,2018-08-01,238
DCA-IAH,2020-01-01,205
DCA-ILM,2018-08-01,28
DCA-ILM,2020-01-01,25
DCA-IND,2018-08-01,170
DCA-IND,2020-01-01,126
DCA-JAN,2018-08-01,30
DCA-JAN,2020-01-01,15
DCA-JAX,2018-08-01,174
DCA-JAX,2020-01-01,99
DCA-JFK,2018-08-01,243
DCA-JFK,2020-01-01,185
DCA-LAN,2018-08-01,27
DCA-LAN,2020-01-01,19
DCA-LAS,2018-08-01,30
DCA-LAS,2020-01-01,29
DCA-LAX,2018-08-01,124
DCA-LAX,2020-01-01,110
DCA-LEX,2018-08-01,23
DCA-LEX,2020-01-01,21
DCA-LGA,2018-08-01,577
DCA-LGA,2020-01-01,397
DCA-LIT,2018-08-01,31
DCA-LIT,2020-01-01,27
DCA-MCI,2018-08-01,135
DCA-MCI,2020-01-01,110
DCA-MCO,2018-08-01,310
DCA-MCO,2020-01-01,288
DCA-MDW,2018-08-01,172
DCA-MDW,2020-01-01,158
DCA-MEM,2018-08-01,82
DCA-MEM,2020-01-01,77
DCA-MGM,2018-08-01,27
DCA-MGM,2020-01-01,16
DCA-MHT,2018-08-01,91
DCA-MHT,2020-01-01,77
DCA-MIA,2018-08-01,271
DCA-MIA,2020-01-01,255
DCA-MKE,2018-08-01,58
DCA-MKE,2020-01-01,47
DCA-MSN,2018-08-01,26
DCA-MSN,2020-01-01,21
DCA-MSP,2018-08-01,260
DCA-MSP,2020-01-01,215
DCA-MSY,2018-08-01,178
DCA-MSY,2020-01-01,163
DCA-MVY,2018-08-01,39
DCA-MYR,2018-08-01,30
DCA-MYR,2020-01-01,3
DCA-OKC,2020-01-01,54
DCA-OMA,2018-08-01,57
DCA-OMA,2020-01-01,48
DCA-ORD,2018-08-01,699
DCA-ORD,2020-01-01,598
DCA-ORF,2018-08-01,87
DCA-ORF,2020-01-01,58
DCA-PBI,2018-08-01,62
DCA-PBI,2020-01-01,117
DCA-PDX,2018-08-01,31
DCA-PDX,2020-01-01,23
DCA-PHL,2018-08-01,98
DCA-PHL,2020-01-01,75
DCA-PHX,2018-08-01,89
DCA-PHX,2020-01-01,84
DCA-PIT,2018-08-01,106
DCA-PIT,2020-01-01,117
DCA-PNS,2018-08-01,61
DCA-PNS,2020-01-01,42
DCA-PVD,2018-08-01,245
DCA-PVD,2020-01-01,211
DCA-PWM,2018-08-01,144
DCA-PWM,2020-01-01,92
DCA-RDU,2018-08-01,291
DCA-RDU,2020-01-01,185
DCA-ROC,2018-08-01,85
DCA-ROC,2020-01-01,28
DCA-RSW,2018-08-01,50
DCA-RSW,2020-01-01,97
DCA-SAV,2018-08-01,57
DCA-SAV,2020-01-01,48
DCA-SDF,2018-08-01,96
DCA-SDF,2020-01-01,75
DCA-SEA,2018-08-01,62
DCA-SEA,2020-01-01,50
DCA-SFO,2018-08-01,62
DCA-SFO,2020-01-01,46
DCA-SJU,2018-08-01,30
DCA-SJU,2020-01-01,28
DCA-SLC,2018-08-01,31
DCA-SLC,2020-01-01,27
DCA-SRQ,2018-08-01,31
DCA-SRQ,2020-01-01,30
DCA-STL,2018-08-01,246
DCA-STL,2020-01-01,188
DCA-SYR,2018-08-01,86
DCA-SYR,2020-01-01,62
DCA-TLH,2018-08-01,28
DCA-TLH,2020-01-01,17
DCA-TPA,2018-08-01,187
DCA-TPA,2020-01-01,149
DCA-TYS,2018-08-01,83
DCA-TYS,2020-01-01,65
DCA-VPS,2018-08-01,31
DCA-VPS,2020-01-01,23
DCA-XNA,2018-08-01,27
DCA-XNA,2020-01-01,23
DEN-ABQ,2018-08-01,260
DEN-ABQ,2020-01-01,155
DEN-ACV,2020-01-01,28
DEN-ALB,2018-08-01,31
DEN-AMA,2018-08-01,61
DEN-AMA,2020-01-01,1
DEN-ANC,2018-08-01,51
DEN-ANC,2020-01-01,30
DEN-ASE,2018-08-01,223
DEN-ASE,2020-01-01,156
DEN-ATL,2018-08-01,532
DEN-ATL,2020-01-01,399
DEN-ATW,2018-08-01,31
DEN-ATY,2020-01-01,28
DEN-AUS,2018-08-01,343
DEN-AUS,2020-01-01,309
DEN-AVL,2018-08-01,10
DEN-BDL,2018-08-01,65
DEN-BDL,2020-01-01,34
DEN-BFF,2018-08-01,54
DEN-BFF,2020-01-01,43
DEN-BFL,2018-08-01,62
DEN-BFL,2020-01-01,54
DEN-BFM,2020-01-01,10
DEN-BHM,2018-08-01,75
DEN-BHM,2020-01-01,44
DEN-BIL,2018-08-01,124
DEN-BIL,2020-01-01,93
DEN-BIS,2018-08-01,135
DEN-BIS,2020-01-01,60
DEN-BKG,2018-08-01,13
DEN-BLI,2018-08-01,6
DEN-BNA,2018-08-01,267
DEN-BNA,2020-01-01,218
DEN-BOI,2018-08-01,222
DEN-BOI,2020-01-01,178
DEN-BOS,2018-08-01,310
DEN-BOS,2020-01-01,210
DEN-BUF,2018-08-01,21
DEN-BUF,2020-01-01,5
DEN-BUR,2018-08-01,143
DEN-BUR,2020-01-01,130
DEN-BWI,2018-08-01,243
DEN-BWI,2020-01-01,199
DEN-BZN,2018-08-01,160
DEN-BZN,2020-01-01,125
DEN-CHS,2018-08-01,27
DEN-CHS,2020-01-01,26
DEN-CID,2018-08-01,81
DEN-CID,2020-01-01,70
DEN-CLE,2018-08-01,174
DEN-CLE,2020-01-01,116
DEN-CLT,2018-08-01,260
DEN-CLT,2020-01-01,195
DEN-CMH,2018-08-01,117
DEN-CMH,2020-01-01,93
DEN-CNY,2018-08-01,53
DEN-CNY,2020-01-01,21
DEN-COD,2018-08-01,99
DEN-COS,2018-08-01,272
DEN-COS,2020-01-01,220
DEN-COU,2018-08-01,31
DEN-COU,2020-01-01,3
DEN-CPR,2018-08-01,133
DEN-CPR,2020-01-01,39
DEN-CVG,2018-08-01,158
DEN-CVG,2020-01-01,128
DEN-DAL,2018-08-01,211
DEN-DAL,2020-01-01,218
DEN-DAY,2018-08-01,60
DEN-DAY,2020-01-01,26
DEN-DCA,2018-08-01,124
DEN-DCA,2020-01-01,112
DEN-DFW,2018-08-01,512
DEN-DFW,2020-01-01,392
DEN-DIK,2018-08-01,53
DEN-DRO,2018-08-01,200
DEN-DRO,2020-01-01,97
DEN-DSM,2018-08-01,175
DEN-DSM,2020-01-01,144
DEN-DTW,2018-08-01,300
DEN-DTW,2020-01-01,184
DEN-EAR,2020-01-01,54
DEN-ECP,2018-08-01,1
DEN-EGE,2018-08-01,60
DEN-EGE,2020-01-01,69
DEN-ELP,2018-08-01,149
DEN-ELP,2020-01-01,101
DEN-EUG,2018-08-01,85
DEN-EUG,2020-01-01,75
DEN-EWR,2018-08-01,319
DEN-EWR,2020-01-01,174
DEN-FAR,2018-08-01,106
DEN-FAR,2020-01-01,98
DEN-FAT,2018-08-01,137
DEN-FAT,2020-01-01,91
DEN-FCA,2018-08-01,121
DEN-FCA,2020-01-01,77
DEN-FLL,2018-08-01,116
DEN-FLL,2020-01-01,189
DEN-FSD,2018-08-01,135
DEN-FSD,2020-01-01,107
DEN-GCC,2018-08-01,58
DEN-GCC,2020-01-01,58
DEN-GEG,2018-08-01,174
DEN-GEG,2020-01-01,113
DEN-GJT,2018-08-01,139
DEN-GJT,2020-01-01,17
DEN-GRR,2018-08-01,109
DEN-GRR,2020-01-01,50
DEN-GSO,2018-08-01,4
DEN-GSP,2020-01-01,33
DEN-GTF,2018-08-01,96
DEN-GTF,2020-01-01,39
DEN-GUC,2018-08-01,62
DEN-HDN,2018-08-01,62
DEN-HDN,2020-01-01,9
DEN-HLN,2018-08-01,62
DEN-HNL,2018-08-01,31
DEN-HNL,2020-01-01,35
DEN-HOB,2020-01-01,27
DEN-HOU,2018-08-01,182
DEN-HOU,2020-01-01,185
DEN-HRL,2020-01-01,8
DEN-HSV,2018-08-01,61
DEN-HYS,2018-08-01,51
DEN-HYS,2020-01-01,47
DEN-IAD,2018-08-01,354
DEN-IAD,2020-01-01,222
DEN-IAH,2018-08-01,372
DEN-IAH,2020-01-01,348
DEN-ICT,2018-08-01,118
DEN-ICT,2020-01-01,94
DEN-IDA,2018-08-01,121
DEN-IDA,2020-01-01,3
DEN-IND,2018-08-01,221
DEN-IND,2020-01-01,155
DEN-ISN,2018-08-01,89
DEN-JAC,2018-08-01,143
DEN-JAC,2020-01-01,83
DEN-JAX,2018-08-01,80
DEN-JAX,2020-01-01,45
DEN-JFK,2018-08-01,171
DEN-JFK,2020-01-01,79
DEN-JMS,2018-08-01,53
DEN-JMS,2020-01-01,49
DEN-KOA,2018-08-01,31
DEN-KOA,2020-01-01,28
DEN-LAR,2018-08-01,52
DEN-LAR,2020-01-01,46
DEN-LAS,2018-08-01,576
DEN-LAS,2020-01-01,542
DEN-LAX,2018-08-01,762
DEN-LAX,2020-01-01,551
DEN-LBB,2018-08-01,61
DEN-LBB,2020-01-01,72
DEN-LBF,2018-08-01,54
DEN-LBF,2020-01-01,49
DEN-LBL,2018-08-01,27
DEN-LBL,2020-01-01,23
DEN-LGA,2018-08-01,362
DEN-LGA,2020-01-01,304
DEN-LGB,2018-08-01,8
DEN-LGB,2020-01-01,7
DEN-LIH,2018-08-01,31
DEN-LIH,2020-01-01,27
DEN-LIT,2018-08-01,107
DEN-LIT,2020-01-01,53
DEN-LNK,2018-08-01,92
DEN-LNK,2020-01-01,29
DEN-MAF,2018-08-01,91
DEN-MAF,2020-01-01,53
DEN-MCI,2018-08-01,415
DEN-MCI,2020-01-01,294
DEN-MCO,2018-08-01,238
DEN-MCO,2020-01-01,283
DEN-MDT,2018-08-01,9
DEN-MDW,2018-08-01,270
DEN-MDW,2020-01-01,182
DEN-MEM,2018-08-01,80
DEN-MEM,2020-01-01,87
DEN-MFR,2018-08-01,65
DEN-MFR,2020-01-01,27
DEN-MIA,2018-08-01,113
DEN-MIA,2020-01-01,123
DEN-MKE,2018-08-01,208
DEN-MKE,2020-01-01,123
DEN-MLI,2018-08-01,54
DEN-MMH,2020-01-01,26
DEN-MOT,2018-08-01,62
DEN-MOT,2020-01-01,49
DEN-MRY,2020-01-01,2
DEN-MSN,2018-08-01,76
DEN-MSN,2020-01-01,62
DEN-MSO,2018-08-01,168
DEN-MSO,2020-01-01,61
DEN-MSP,2018-08-01,537
DEN-MSP,2020-01-01,428
DEN-MSY,2018-08-01,144
DEN-MSY,2020-01-01,184
DEN-MTJ,2018-08-01,121
DEN-MTJ,2020-01-01,42
DEN-MYR,2018-08-01,9
DEN-OAK,2018-08-01,146
DEN-OAK,2020-01-01,105
DEN-OGG,2018-08-01,30
DEN-OGG,2020-01-01,26
DEN-OKC,2018-08-01,259
DEN-OKC,2020-01-01,138
DEN-OMA,2018-08-01,266
DEN-OMA,2020-01-01,209
DEN-ONT,2018-08-01,148
DEN-ONT,2020-01-01,136
DEN-ORD,2018-08-01,616
DEN-ORD,2020-01-01,343
DEN-ORF,2018-08-01,46
DEN-ORF,2020-01-01,34
DEN-OTH,2018-08-01,9
DEN-PAE,2020-01-01,45
DEN-PDX,2018-08-01,321
DEN-PDX,2020-01-01,231
DEN-PHL,2018-08-01,256
DEN-PHL,2020-01-01,136
DEN-PHX,2018-08-01,580
DEN-PHX,2020-01-01,599
DEN-PIR,2020-01-01,49
DEN-PIT,2018-08-01,109
DEN-PIT,2020-01-01,96
DEN-PNS,2018-08-01,15
DEN-PNS,2020-01-01,10
DEN-PRC,2018-08-01,3
DEN-PRC,2020-01-01,29
DEN-PSC,2018-08-01,65
DEN-PSC,2020-01-01,58
DEN-PSP,2018-08-01,107
DEN-PSP,2020-01-01,107
DEN-PUB,2018-08-01,54
DEN-PUB,2020-01-01,49
DEN-PVD,2018-08-01,20
DEN-PWM,2018-08-01,17
DEN-RAP,2018-08-01,188
DEN-RAP,2020-01-01,68
DEN-RDM,2018-08-01,78
DEN-RDM,2020-01-01,53
DEN-RDU,2018-08-01,155
DEN-RDU,2020-01-01,110
DEN-RIC,2018-08-01,61
DEN-RIC,2020-01-01,48
DEN-RIW,2020-01-01,26
DEN-RKS,2018-08-01,58
DEN-RKS,2020-01-01,52
DEN-RNO,2018-08-01,172
DEN-RNO,2020-01-01,114
DEN-RSW,2018-08-01,10
DEN-RSW,2020-01-01,62
DEN-SAF,2018-08-01,94
DEN-SAN,2018-08-01,383
DEN-SAN,2020-01-01,372
DEN-SAT,2018-08-01,194
DEN-SAT,2020-01-01,190
DEN-SAV,2018-08-01,7
DEN-SBA,2018-08-01,125
DEN-SBA,2020-01-01,89
DEN-SBP,2018-08-01,65
DEN-SBP,2020-01-01,75
DEN-SDF,2018-08-01,109
DEN-SDF,2020-01-01,23
DEN-SEA,2018-08-01,677
DEN-SEA,2020-01-01,390
DEN-SFO,2018-08-01,539
DEN-SFO,2020-01-01,337
DEN-SGF,2018-08-01,101
DEN-SGF,2020-01-01,7
DEN-SGU,2018-08-01,44
DEN-SGU,2020-01-01,56
DEN-SHR,2020-01-01,15
DEN-SHV,2018-08-01,31
DEN-SHV,2020-01-01,26
DEN-SJC,2018-08-01,293
DEN-SJC,2020-01-01,226
DEN-SLC,2018-08-01,696
DEN-SLC,2020-01-01,516
DEN-SMF,2018-08-01,284
DEN-SMF,2020-01-01,220
DEN-SNA,2018-08-01,306
DEN-SNA,2020-01-01,244
DEN-STL,2018-08-01,338
DEN-STL,2020-01-01,218
DEN-STS,2020-01-01,27
DEN-SUN,2018-08-01,31
DEN-SUN,2020-01-01,24
DEN-SYR,2018-08-01,12
DEN-SYR,2020-01-01,24
DEN-TPA,2018-08-01,167
DEN-TPA,2020-01-01,199
DEN-TUL,2018-08-01,213
DEN-TUL,2020-01-01,122
DEN-TUS,2018-08-01,185
DEN-TUS,2020-01-01,185
DEN-TVC,2018-08-01,3
DEN-TYR,2020-01-01,8
DEN-TYS,2018-08-01,76
DEN-TYS,2020-01-01,11
DEN-VEL,2018-08-01,54
DEN-VEL,2020-01-01,38
DEN-XNA,2018-08-01,61
DEN-XNA,2020-01-01,48
DEN-XWA,2020-01-01,7
DFW-ABI,2018-08-01,179
DFW-ABI,2020-01-01,127
DFW-ABQ,2018-08-01,240
DFW-ABQ,2020-01-01,166
DFW-ACT,2018-08-01,145
DFW-ACT,2020-01-01,105
DFW-AEX,2018-08-01,93
DFW-AEX,2020-01-01,71
DFW-AGS,2020-01-01,25
DFW-AMA,2018-08-01,212
DFW-AMA,2020-01-01,146
DFW-ANC,2018-08-01,31
DFW-ASE,2018-08-01,31
DFW-ASE,2020-01-01,55
DFW-ATL,2018-08-01,613
DFW-ATL,2020-01-01,440
DFW-AUS,2018-08-01,333
DFW-AUS,2020-01-01,240
DFW-AVL,2018-08-01,3
DFW-AVL,2020-01-01,32
DFW-BDL,2018-08-01,60
DFW-BDL,2020-01-01,19
DFW-BFL,2020-01-01,47
DFW-BHM,2018-08-01,165
DFW-BHM,2020-01-01,118
DFW-BIL,2018-08-01,31
DFW-BIL,2020-01-01,29
DFW-BIS,2018-08-01,30
DFW-BIS,2020-01-01,42
DFW-BMI,2018-08-01,57
DFW-BMI,2020-01-01,47
DFW-BNA,2018-08-01,240
DFW-BNA,2020-01-01,184
DFW-BOI,2018-08-01,50
DFW-BOI,2020-01-01,72
DFW-BOS,2018-08-01,298
DFW-BOS,2020-01-01,161
DFW-BPT,2018-08-01,79
DFW-BPT,2020-01-01,62
DFW-BRO,2018-08-01,108
DFW-BRO,2020-01-01,71
DFW-BTR,2018-08-01,176
DFW-BTR,2020-01-01,119
DFW-BUF,2020-01-01,22
DFW-BUR,2020-01-01,43
DFW-BWI,2018-08-01,147
DFW-BWI,2020-01-01,91
DFW-BZN,2018-08-01,50
DFW-BZN,2020-01-01,32
DFW-CAE,2018-08-01,58
DFW-CAE,2020-01-01,64
DFW-CHA,2018-08-01,79
DFW-CHA,2020-01-01,66
DFW-CHS,2018-08-01,80
DFW-CHS,2020-01-01,70
DFW-CID,2018-08-01,92
DFW-CID,2020-01-01,69
DFW-CLE,2018-08-01,157
DFW-CLE,2020-01-01,61
DFW-CLL,2018-08-01,120
DFW-CLL,2020-01-01,86
DFW-CLT,2018-08-01,301
DFW-CLT,2020-01-01,251
DFW-CMH,2018-08-01,146
DFW-CMH,2020-01-01,85
DFW-CMI,2018-08-01,61
DFW-CMI,2020-01-01,47
DFW-COS,2018-08-01,136
DFW-COS,2020-01-01,123
DFW-COU,2018-08-01,79
DFW-COU,2020-01-01,59
DFW-CRP,2018-08-01,204
DFW-CRP,2020-01-01,172
DFW-CVG,2018-08-01,222
DFW-CVG,2020-01-01,124
DFW-CYS,2020-01-01,24
DFW-DAY,2018-08-01,113
DFW-DAY,2020-01-01,84
DFW-DCA,2018-08-01,261
DFW-DCA,2020-01-01,250
DFW-DEN,2018-08-01,511
DFW-DEN,2020-01-01,394
DFW-DRO,2018-08-01,90
DFW-DRO,2020-01-01,70
DFW-DRT,2020-01-01,48
DFW-DSM,2018-08-01,106
DFW-DSM,2020-01-01,75
DFW-DTW,2018-08-01,362
DFW-DTW,2020-01-01,238
DFW-ECP,2018-08-01,62
DFW-ECP,2020-01-01,43
DFW-EGE,2018-08-01,31
DFW-EGE,2020-01-01,58
DFW-ELP,2018-08-01,263
DFW-ELP,2020-01-01,199
DFW-EVV,2018-08-01,56
DFW-EVV,2020-01-01,42
DFW-EWR,2018-08-01,308
DFW-EWR,2020-01-01,228
DFW-EYW,2018-08-01,3
DFW-EYW,2020-01-01,31
DFW-FAR,2018-08-01,61
DFW-FAR,2020-01-01,50
DFW-FAT,2018-08-01,70
DFW-FAT,2020-01-01,57
DFW-FLG,2018-08-01,3
DFW-FLG,2020-01-01,55
DFW-FLL,2018-08-01,277
DFW-FLL,2020-01-01,243
DFW-FSD,2018-08-01,60
DFW-FSD,2020-01-01,63
DFW-FSM,2018-08-01,115
DFW-FSM,2020-01-01,103
DFW-FWA,2018-08-01,60
DFW-FWA,2020-01-01,57
DFW-GCK,2018-08-01,62
DFW-GCK,2020-01-01,45
DFW-GEG,2018-08-01,45
DFW-GEG,2020-01-01,28
DFW-GGG,2018-08-01,80
DFW-GGG,2020-01-01,67
DFW-GJT,2018-08-01,92
DFW-GJT,2020-01-01,76
DFW-GNV,2020-01-01,46
DFW-GPT,2018-08-01,84
DFW-GPT,2020-01-01,53
DFW-GRI,2018-08-01,74
DFW-GRI,2020-01-01,48
DFW-GRK,2018-08-01,199
DFW-GRK,2020-01-01,147
DFW-GRR,2018-08-01,60
DFW-GRR,2020-01-01,69
DFW-GSO,2018-08-01,75
DFW-GSO,2020-01-01,39
DFW-GSP,2018-08-01,62
DFW-GSP,2020-01-01,61
DFW-GUC,2020-01-01,27
DFW-HDN,2020-01-01,24
DFW-HNL,2018-08-01,58
DFW-HNL,2020-01-01,57
DFW-HOU,2018-08-01,197
DFW-HOU,2020-01-01,150
DFW-HRL,2020-01-01,71
DFW-HSV,2018-08-01,140
DFW-HSV,2020-01-01,111
DFW-IAD,2018-08-01,213
DFW-IAD,2020-01-01,145
DFW-IAH,2018-08-01,528
DFW-IAH,2020-01-01,401
DFW-ICT,2018-08-01,183
DFW-ICT,2020-01-01,158
DFW-ILM,2018-08-01,3
DFW-ILM,2020-01-01,44
DFW-IND,2018-08-01,147
DFW-IND,2020-01-01,105
DFW-JAC,2018-08-01,60
DFW-JAC,2020-01-01,29
DFW-JAN,2018-08-01,174
DFW-JAN,2020-01-01,138
DFW-JAX,2018-08-01,148
DFW-JAX,2020-01-01,119
DFW-JFK,2018-08-01,145
DFW-JFK,2020-01-01,102
DFW-JLN,2018-08-01,73
DFW-JLN,2020-01-01,46
DFW-KOA,2018-08-01,20
DFW-KOA,2020-01-01,21
DFW-LAS,2018-08-01,407
DFW-LAS,2020-01-01,346
DFW-LAW,2018-08-01,119
DFW-LAW,2020-01-01,84
DFW-LAX,2018-08-01,717
DFW-LAX,2020-01-01,484
DFW-LBB,2018-08-01,177
DFW-LBB,2020-01-01,159
DFW-LCH,2018-08-01,88
DFW-LCH,2020-01-01,63
DFW-LEX,2018-08-01,79
DFW-LEX,2020-01-01,66
DFW-LFT,2018-08-01,121
DFW-LFT,2020-01-01,88
DFW-LGA,2018-08-01,523
DFW-LGA,2020-01-01,416
DFW-LIT,2018-08-01,240
DFW-LIT,2020-01-01,182
DFW-LRD,2018-08-01,117
DFW-LRD,2020-01-01,93
DFW-MAF,2018-08-01,180
DFW-MAF,2020-01-01,163
DFW-MCI,2018-08-01,209
DFW-MCI,2020-01-01,162
DFW-MCO,2018-08-01,358
DFW-MCO,2020-01-01,294
DFW-MDT,2020-01-01,26
DFW-MEI,2020-01-01,24
DFW-MEM,2018-08-01,205
DFW-MEM,2020-01-01,173
DFW-MFE,2018-08-01,211
DFW-MFE,2020-01-01,153
DFW-MGM,2018-08-01,88
DFW-MGM,2020-01-01,58
DFW-MHK,2018-08-01,92
DFW-MHK,2020-01-01,61
DFW-MIA,2018-08-01,317
DFW-MIA,2020-01-01,243
DFW-MKE,2018-08-01,116
DFW-MKE,2020-01-01,59
DFW-MLI,2018-08-01,62
DFW-MLI,2020-01-01,39
DFW-MLU,2018-08-01,86
DFW-MLU,2020-01-01,74
DFW-MOB,2018-08-01,88
DFW-MOB,2020-01-01,55
DFW-MRY,2020-01-01,6
DFW-MSN,2018-08-01,91
DFW-MSN,2020-01-01,67
DFW-MSO,2018-08-01,31
DFW-MSO,2020-01-01,26
DFW-MSP,2018-08-01,413
DFW-MSP,2020-01-01,227
DFW-MSY,2018-08-01,247
DFW-MSY,2020-01-01,143
DFW-MTJ,2018-08-01,49
DFW-MTJ,2020-01-01,34
DFW-MYR,2018-08-01,16
DFW-OAK,2018-08-01,77
DFW-OGG,2018-08-01,50
DFW-OGG,2020-01-01,56
DFW-OKC,2018-08-01,265
DFW-OKC,2020-01-01,200
DFW-OMA,2018-08-01,118
DFW-OMA,2020-01-01,85
DFW-ONT,2018-08-01,165
DFW-ONT,2020-01-01,137
DFW-ORD,2018-08-01,675
DFW-ORD,2020-01-01,486
DFW-ORF,2018-08-01,77
DFW-ORF,2020-01-01,49
DFW-PBI,2018-08-01,61
DFW-PBI,2020-01-01,87
DFW-PDX,2018-08-01,183
DFW-PDX,2020-01-01,101
DFW-PHL,2018-08-01,307
DFW-PHL,2020-01-01,219
DFW-PHX,2018-08-01,390
DFW-PHX,2020-01-01,312
DFW-PIA,2018-08-01,60
DFW-PIA,2020-01-01,49
DFW-PIB,2018-08-01,31
DFW-PIB,2020-01-01,51
DFW-PIT,2018-08-01,168
DFW-PIT,2020-01-01,89
DFW-PNS,2018-08-01,138
DFW-PNS,2020-01-01,109
DFW-PSP,2018-08-01,42
DFW-PSP,2020-01-01,71
DFW-RAP,2018-08-01,62
DFW-RAP,2020-01-01,53
DFW-RDU,2018-08-01,163
DFW-RDU,2020-01-01,112
DFW-RIC,2018-08-01,86
DFW-RIC,2020-01-01,43
DFW-RNO,2018-08-01,77
DFW-RNO,2020-01-01,69
DFW-ROW,2018-08-01,86
DFW-ROW,2020-01-01,77
DFW-RSW,2018-08-01,81
DFW-RSW,2020-01-01,103
DFW-SAF,2018-08-01,85
DFW-SAF,2020-01-01,77
DFW-SAN,2018-08-01,297
DFW-SAN,2020-01-01,196
DFW-SAT,2018-08-01,318
DFW-SAT,2020-01-01,260
DFW-SAV,2018-08-01,70
DFW-SAV,2020-01-01,57
DFW-SBA,2018-08-01,29
DFW-SBA,2020-01-01,56
DFW-SBN,2018-08-01,63
DFW-SBN,2020-01-01,48
DFW-SBP,2020-01-01,50
DFW-SDF,2018-08-01,180
DFW-SDF,2020-01-01,114
DFW-SEA,2018-08-01,429
DFW-SEA,2020-01-01,186
DFW-SFO,2018-08-01,380
DFW-SFO,2020-01-01,281
DFW-SGF,2018-08-01,213
DFW-SGF,2020-01-01,171
DFW-SGU,2020-01-01,28
DFW-SHV,2018-08-01,152
DFW-SHV,2020-01-01,115
DFW-SJC,2018-08-01,124
DFW-SJC,2020-01-01,94
DFW-SJT,2018-08-01,120
DFW-SJT,2020-01-01,110
DFW-SJU,2018-08-01,51
DFW-SJU,2020-01-01,40
DFW-SLC,2018-08-01,350
DFW-SLC,2020-01-01,260
DFW-SMF,2018-08-01,147
DFW-SMF,2020-01-01,95
DFW-SNA,2018-08-01,269
DFW-SNA,2020-01-01,205
DFW-SPI,2018-08-01,61
DFW-SPI,2020-01-01,44
DFW-SPS,2018-08-01,91
DFW-SPS,2020-01-01,72
DFW-SRQ,2020-01-01,32
DFW-STL,2018-08-01,210
DFW-STL,2020-01-01,161
DFW-STS,2020-01-01,6
DFW-STT,2020-01-01,3
DFW-SUX,2018-08-01,31
DFW-SUX,2020-01-01,24
DFW-SWO,2018-08-01,76
DFW-SWO,2020-01-01,52
DFW-TLH,2018-08-01,62
DFW-TLH,2020-01-01,69
DFW-TPA,2018-08-01,220
DFW-TPA,2020-01-01,194
DFW-TRI,2020-01-01,52
DFW-TUL,2018-08-01,264
DFW-TUL,2020-01-01,189
DFW-TUS,2018-08-01,179
DFW-TUS,2020-01-01,163
DFW-TVC,2018-08-01,20
DFW-TXK,2018-08-01,116
DFW-TXK,2020-01-01,75
DFW-TYR,2018-08-01,120
DFW-TYR,2020-01-01,105
DFW-TYS,2018-08-01,119
DFW-TYS,2020-01-01,95
DFW-VPS,2018-08-01,133
DFW-VPS,2020-01-01,65
DFW-XNA,2018-08-01,273
DFW-XNA,2020-01-01,200
DFW-YUM,2020-01-01,32
DHN-ATL,2018-08-01,120
DHN-ATL,2020-01-01,100
DIK-DEN,2018-08-01,53
DLG-ANC,2018-08-01,22
DLH-MSP,2018-08-01,151
DLH-MSP,2020-01-01,109
DLH-ORD,2018-08-01,99
DLH-ORD,2020-01-01,107
DRO-DEN,2018-08-01,200
DRO-DEN,2020-01-01,99
DRO-DFW,2018-08-01,90
DRO-DFW,2020-01-01,69
DRO-IAH,2020-01-01,3
DRO-LAX,2018-08-01,4
DRO-PHX,2018-08-01,59
DRO-PHX,2020-01-01,52
DRT-DFW,2020-01-01,53
DSM-ATL,2018-08-01,92
DSM-ATL,2020-01-01,72
DSM-AZA,2018-08-01,9
DSM-AZA,2020-01-01,5
DSM-CLT,2018-08-01,86
DSM-CLT,2020-01-01,76
DSM-DCA,2018-08-01,31
DSM-DCA,2020-01-01,44
DSM-DEN,2018-08-01,173
DSM-DEN,2020-01-01,132
DSM-DFW,2018-08-01,106
DSM-DFW,2020-01-01,73
DSM-DTW,2018-08-01,88
DSM-DTW,2020-01-01,88
DSM-EWR,2018-08-01,29
DSM-IAH,2018-08-01,40
DSM-IAH,2020-01-01,52
DSM-LAS,2018-08-01,46
DSM-LAS,2020-01-01,37
DSM-LAX,2018-08-01,4
DSM-LGA,2018-08-01,26
DSM-LGA,2020-01-01,23
DSM-MCO,2018-08-01,13
DSM-MCO,2020-01-01,12
DSM-MSP,2018-08-01,158
DSM-MSP,2020-01-01,103
DSM-ORD,2018-08-01,336
DSM-ORD,2020-01-01,165
DSM-PGD,2018-08-01,9
DSM-PGD,2020-01-01,9
DSM-PHL,2018-08-01,58
