ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-01,1737.0130800000002,1580.9863207273593,1580.9863234607797,1737.0130800000002,1737.0130800000002,-156.026757818194,-156.026757818194,-156.026757818194,-156.026757818194,-156.026757818194,-156.026757818194,0.0,0.0,0.0,1580.9863221818061
2020-01-01,5526.053491046974,994.9816535174391,994.981656296496,5526.053491046974,5526.053491046974,-4531.071836176748,-4531.071836176748,-4531.071836176748,-4531.071836176748,-4531.071836176748,-4531.071836176748,0.0,0.0,0.0,994.9816548702265
2020-02-01,5752.81073572353,23216.343758894225,23216.343761755496,5752.81073572353,5752.81073572353,17463.533024625,17463.533024625,17463.533024625,17463.533024625,17463.533024625,17463.533024625,0.0,0.0,0.0,23216.343760348533
2020-03-01,5964.9384807435345,-7884.9507655634825,-7884.950762535217,5964.9384807435345,5964.9384807435345,-13849.889244843856,-13849.889244843856,-13849.889244843856,-13849.889244843856,-13849.889244843856,-13849.889244843856,0.0,0.0,0.0,-7884.950764100322
2020-04-01,6191.6957254200925,20297.875859653046,20297.87586273385,6191.6957254200925,6191.6957254200925,14106.180135781113,14106.180135781113,14106.180135781113,14106.180135781113,14106.180135781113,14106.180135781113,0.0,0.0,0.0,20297.875861201206
2020-05-01,6411.138220268373,35653.77051359322,35653.770516797515,6411.138220268373,6411.138220268373,29242.632294882445,29242.632294882445,29242.632294882445,29242.632294882445,29242.632294882445,29242.632294882445,0.0,0.0,0.0,35653.77051515082
2020-06-01,6637.895464944929,9182.859399470943,9182.859402965632,6637.895464728089,6637.895465292872,2544.9639362514245,2544.9639362514245,2544.9639362514245,2544.9639362514245,2544.9639362514245,2544.9639362514245,0.0,0.0,0.0,9182.859401196354
2020-07-01,6857.337959793209,41.94710507559241,41.94710896118076,6857.337959207145,6857.337960445424,-6815.390852823649,-6815.390852823649,-6815.390852823649,-6815.390852823649,-6815.390852823649,-6815.390852823649,0.0,0.0,0.0,41.94710696956008
2020-08-01,7084.095204469765,6982.035427370428,6982.0354315596405,7084.095203358939,7084.095205563775,-102.05977499674357,-102.05977499674357,-102.05977499674357,-102.05977499674357,-102.05977499674357,-102.05977499674357,0.0,0.0,0.0,6982.035429473021
2020-09-01,7310.852449146322,7774.68534176044,7774.685346751911,7310.8524473664,7310.85245083702,463.83289491138015,463.83289491138015,463.83289491138015,463.83289491138015,463.83289491138015,463.83289491138015,0.0,0.0,0.0,7774.685344057702
2020-10-01,7530.294943994602,-14118.434908546922,-14118.434902837987,7530.294941466051,7530.294946429509,-21648.729849708045,-21648.729849708045,-21648.729849708045,-21648.729849708045,-21648.729849708045,-21648.729849708045,0.0,0.0,0.0,-14118.434905713442
2020-11-01,7757.052188671159,2058.318979072863,2058.3189865419736,7757.052184984638,7757.052192106623,-5698.7332056660025,-5698.7332056660025,-5698.7332056660025,-5698.7332056660025,-5698.7332056660025,-5698.7332056660025,0.0,0.0,0.0,2058.318983005156
2020-12-01,7976.494683519439,-2431.0127147300473,-2431.0127055024236,7976.494678995995,7976.494687770178,-10407.50739358467,-10407.50739358467,-10407.50739358467,-10407.50739358467,-10407.50739358467,-10407.50739358467,0.0,0.0,0.0,-2431.0127100652317
2021-01-01,8203.251928195996,3587.1327633006495,3587.1327740941183,8203.251922785317,8203.251933462845,-4616.119159147161,-4616.119159147161,-4616.119159147161,-4616.119159147161,-4616.119159147161,-4616.119159147161,0.0,0.0,0.0,3587.132769048835
